id,sol,cam_name,img_src,earth_date,rover_name,cat_foun
425010,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630780405175E01_DXXX.jpg,2015-05-30,Curiosity,N,
425011,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630770503637E02_DXXX.jpg,2015-05-30,Curiosity,N,
425012,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630770405174E01_DXXX.jpg,2015-05-30,Curiosity,N,
425013,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630760503636E02_DXXX.jpg,2015-05-30,Curiosity,N,
425014,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630760405173E01_DXXX.jpg,2015-05-30,Curiosity,N,
425015,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630750503635E01_DXXX.jpg,2015-05-30,Curiosity,N,
425016,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630750405172E01_DXXX.jpg,2015-05-30,Curiosity,N,
425017,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630740503634E01_DXXX.jpg,2015-05-30,Curiosity,N,
425018,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630740405171E02_DXXX.jpg,2015-05-30,Curiosity,N,
425019,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630730503633E01_DXXX.jpg,2015-05-30,Curiosity,N,
425020,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630730405170E01_DXXX.jpg,2015-05-30,Curiosity,N,
425021,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630720503632E01_DXXX.jpg,2015-05-30,Curiosity,N,
425022,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630720405169E01_DXXX.jpg,2015-05-30,Curiosity,N,
425023,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630710503631E01_DXXX.jpg,2015-05-30,Curiosity,N,
425024,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630710405168E01_DXXX.jpg,2015-05-30,Curiosity,N,
425025,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630700503630E02_DXXX.jpg,2015-05-30,Curiosity,N,
425026,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630700405167E01_DXXX.jpg,2015-05-30,Curiosity,N,
425027,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630690503629E02_DXXX.jpg,2015-05-30,Curiosity,N,
425028,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630690405166E01_DXXX.jpg,2015-05-30,Curiosity,N,
